Community,Number,Url,Date,
Fukuoka.R,1,http://www.zusaar.com/event/2897003,2014-01-04,
Fukuoka.R,2,http://www.zusaar.com/event/5477009,2014-07-12,
Fukuoka.R,3,http://www.zusaar.com/event/5907003,2015-01-24,
HijiyamaR,1,https://atnd.org/events/57244,2014-11-29,
Hiroshima.R,1,https://atnd.org/events/16115,2011-06-18,
Hiroshima.R,2,https://atnd.org/events/24108,2012-02-11,
Hiroshima.R,3,https://atnd.org/events/59796,2015-02-14,
Japan.R,1,https://atnd.org/events/9223,2010-11-27,
Japan.R,2,NA,NA,
Japan.R,3,https://atnd.org/events/44682,2013-12-07,
Japan.R,4,https://atnd.org/events/58624,2014-12-06,
Kawashiwa.R,1,http://www14.atwiki.jp/kashiwar/pages/13.html,2011-11-11,
Kawashiwa.R,2,http://www14.atwiki.jp/kashiwar/pages/14.html,2012-02-27,
Kawashiwa.R,3,http://www14.atwiki.jp/kashiwar/pages/15.html,2012-05-18,
Kawashiwa.R,4,http://www14.atwiki.jp/kashiwar/pages/16.html,2012-09-28,
Kawashiwa.R,5,http://www14.atwiki.jp/kashiwar/pages/17.html,2012-11-30,
Kawashiwa.R,6,http://www14.atwiki.jp/kashiwar/pages/18.html,2013-02-20,
Kawashiwa.R,7,http://www14.atwiki.jp/kashiwar/pages/19.html,2013-03-19,
Kawashiwa.R,8,http://www14.atwiki.jp/kashiwar/pages/22.html,2013-06-07,
Kawashiwa.R,9,http://www14.atwiki.jp/kashiwar/pages/23.html,2013-10-11,
Kawashiwa.R,10,http://www14.atwiki.jp/kashiwar/pages/24.html,2014-07-02,
Kobe.R,1,https://kobexr.doorkeeper.jp/events/9507,2014-03-15,
Kobe.R,2,https://kobexr.doorkeeper.jp/events/9880,2014-03-29,
Kobe.R,3,https://kobexr.doorkeeper.jp/events/9897,2014-04-12,
Kobe.R,4,https://kobexr.doorkeeper.jp/events/11095,2014-05-17,
Kobe.R,5,https://kobexr.doorkeeper.jp/events/11097,2014-06-14,
Kobe.R,6,https://kobexr.doorkeeper.jp/events/12779,2014-07-05,
Kobe.R,7,https://kobexr.doorkeeper.jp/events/13174,2014-08-02,
Kobe.R,8,https://kobexr.doorkeeper.jp/events/13962,2014-08-30,
Kobe.R,9,https://kobexr.doorkeeper.jp/events/14808,2014-09-21,
Kobe.R,10,https://kobexr.doorkeeper.jp/events/15060,2014-10-04,
Kobe.R,11,https://kobexr.doorkeeper.jp/events/15769,2014-10-04,
Kobe.R,12,https://kobexr.doorkeeper.jp/events/16101,2014-10-26,
Kobe.R,13,https://kobexr.doorkeeper.jp/events/16989,2014-11-24,
Kobe.R,14,https://kobexr.doorkeeper.jp/events/18138,2015-01-31,
Kobe.R,15,https://kobexr.doorkeeper.jp/events/20843,2015-02-28,
SappoRo.R,1,https://atnd.org/events/27750,2012-07-07,
SappoRo.R,2,http://kokucheese.com/event/index/88324/,2013-07-13,
SappoRo.R,3,http://kokucheese.com/event/index/167919/,2014-07-25,
Tokyo.R,1,http://atnd.org/events/2746,NA,
Tokyo.R,2,http://atnd.org/events/3054,NA,
Tokyo.R,3,http://atnd.org/events/3454,NA,
Tokyo.R,4,http://atnd.org/events/3930,NA,
Tokyo.R,5,http://atnd.org/events/4468,NA,
Tokyo.R,6,http://atnd.org/events/5441,NA,
Tokyo.R,7,http://atnd.org/events/6439,NA,
Tokyo.R,8,http://atnd.org/events/7280,NA,
Tokyo.R,9,http://atnd.org/events/7804,NA,
Tokyo.R,10,http://atnd.org/events/9177,NA,
Tokyo.R,11,http://atnd.org/events/12062,NA,
Tokyo.R,12,http://atnd.org/events/13335,NA,
Tokyo.R,13,http://atnd.org/events/14967,NA,
Tokyo.R,14,http://atnd.org/events/16080,NA,
Tokyo.R,15,http://atnd.org/events/17410,NA,
