Number,Session,Speaker,Title,Slide,Topic,Community
1,1,kosugitti,Rの準備と基本操作,https://t.co/udXaXDmUK6,NA,HijiyamaR
1,2,kazutan,データ処理とグラフ作成,https://rpubs.com/kazutan/hijiyamar1,NA,HijiyamaR
1,3,t_macya,データ入力が終わってから分析する前にすること,http://t.co/mLo6268HTv,NA,HijiyamaR
1,4,t_yamane,anovakunとanovatan,http://t.co/7XZhYZotdl,NA,HijiyamaR
1,5,simizu706,Rで因子分析〜某統計ソフトでできないあれこれ〜,http://t.co/8SSItWbLUJ,NA,HijiyamaR
1,6,hirakawamakoto,Rで重回帰分析の交互作用効果を検討してみよう,http://t.co/0FT7Xqc4TH,NA,HijiyamaR
1,7,Kosugitti,続・心理学のためのpsychパッケージ,https://t.co/BcrHCfBexp,NA,HijiyamaR
1,1,sakaue,入門者講習,http://www.slideshare.net/sakaue/hiroshimar-1-12,NA,Hiroshima.R
1,2,sakaue,R を言語・言語教育研究でどう活用できるか,http://www.slideshare.net/sakaue/hiroshimar-1-13-lt,NA,Hiroshima.R
1,3,kosugitti,心理学のためのpsychパッケージ,http://www.slideshare.net/KojiKosugi/psych-8342608,NA,Hiroshima.R
1,4,t2gtnd,空間データのための回帰分析,http://www.slideshare.net/springking/ss-8342938,NA,Hiroshima.R
2,1,sakaue,入門者講習,http://www.slideshare.net/sakaue/hiroshimar-2,NA,Hiroshima.R
2,2,sakaue,Rでグラフ再入門,http://www.slideshare.net/sakaue/hiroshimar-2-lt-by-sakaue,NA,Hiroshima.R
2,3,t2gtnd,グラフで学ぶ主効果・交互作用,http://ppl.ug/ZBLpEuxurgk/,NA,Hiroshima.R
2,4,T_Yamane,RStudio事始め,http://www.slideshare.net/TakashiYamane1/rstudio,NA,Hiroshima.R
2,5,mihiog,Rを用いた地震データの可視化,http://www.slideshare.net/sakaue/hi-roshimar,NA,Hiroshima.R
3,1,sakaue,入門者講習,http://www.slideshare.net/sakaue/hiroshimar3intror,NA,Hiroshima.R
3,2,sakaue,RMeCab を使ったテキストマイニングの基礎の基礎,http://www.slideshare.net/sakaue/hiroshimar3rmecab,NA,Hiroshima.R
3,3,Kimihira0120,今までのあらすじとこれからの予定,NA,NA,Hiroshima.R
3,4,kazutan,RStudioでプレゼンスライドを作ってみる,http://rpubs.com/kazutan/hiroshimar3,NA,Hiroshima.R
3,5,t2gtnd,Rで地図データを扱う,http://www.slideshare.net/springking/rmap,NA,Hiroshima.R
3,6,simizu706,Rで潜在ランク分析,http://www.slideshare.net/simizu706/latent-rank-44708240,NA,Hiroshima.R
1,1,sakaue,R のインストール・アップグレード・アンインストールの方法,http://www.slideshare.net/sakaue/japanr-11-5929073,NA,Japan.R
1,2,sakaue,基本操作：四則演算、関数の利用、データの読み込み,http://www.slideshare.net/sakaue/japanr-2-introduction-to-r,NA,Japan.R
1,3,sakaue,作図（基本操作の続き）、研究データの分析事例の紹介（デモ）,http://www.slideshare.net/sakaue/japanr-13,NA,Japan.R
2,1,gepuro,RMecabで、テキスト解析を行う,http://www.slideshare.net/gepuro/introduction-of-rmecab,NA,Japan.R
3,1,坪内孝太,Yahoo!ビッグデータからの景気動向指数の推測について,NA,NA,Japan.R
3,2,tetsuroito,実ビジネスデータへのRの活用とその限界,http://www.slideshare.net/tetsuroito/japanr-2013-r,NA,Japan.R
